Food Price Place 
TomyamKung 90 IUPbar 
TomyamKung 30 IUPbar 
TomyamKung 70 SevenEleven 
Somtum 50 SevenEleven 
Potato 20 Scibar 
FriedEgg 10 Newbar 
Potato 70 Scibar 
PotatoChip 20 Scibar 
Somtum 60 Newbar 
Potato 60 Newbar 
PotatoChip 10 SevenEleven 
Somtum 90 Newbar 
ChickenFried 40 Newbar 
Somtum 30 Newbar 
Potato 70 Newbar 
Soba 70 Newbar 
Potato 70 SevenEleven 
Soba 30 Scibar 
PotatoChip 50 Newbar 
ChickenFried 90 SevenEleven 
FriedEgg 60 IUPbar 
Soba 20 IUPbar 
Soba 10 IUPbar 
ChickenFried 40 Scibar 
ChickenFried 70 Newbar 
ChickenFried 20 Newbar 
PotatoChip 30 Scibar 
ChickenFried 50 SevenEleven 
PotatoChip 10 SevenEleven 
Somtum 50 Scibar 
Soba 20 Scibar 
FriedEgg 80 Newbar 
ChickenFried 10 SevenEleven 
Potato 40 Scibar 
Somtum 20 IUPbar 
Soba 60 IUPbar 
PotatoChip 80 Newbar 
Soba 10 SevenEleven 
FriedEgg 40 IUPbar 
PotatoChip 90 Scibar 
Somtum 70 IUPbar 
FriedEgg 70 SevenEleven 
Soba 50 Scibar 
FriedEgg 70 Scibar 
PotatoChip 60 SevenEleven 
ChickenFried 80 Scibar 
TomyamKung 50 SevenEleven 
PotatoChip 80 IUPbar 
Somtum 30 Newbar 
ChickenFried 80 Newbar 
ChickenFried 80 Scibar 
PotatoChip 60 IUPbar 
FriedEgg 10 IUPbar 
PotatoChip 80 SevenEleven 
TomyamKung 90 SevenEleven 
Somtum 30 Scibar 
PotatoChip 40 Newbar 
TomyamKung 40 Newbar 
FriedEgg 60 SevenEleven 
Potato 70 IUPbar 
TomyamKung 90 SevenEleven 
FriedEgg 90 SevenEleven 
Somtum 90 IUPbar 
PotatoChip 60 IUPbar 
Somtum 50 Scibar 
PotatoChip 10 Newbar 
Somtum 40 Newbar 
PotatoChip 50 Newbar 
FriedEgg 60 SevenEleven 
Somtum 90 IUPbar 
TomyamKung 70 Newbar 
FriedEgg 40 Scibar 
Soba 20 SevenEleven 
TomyamKung 90 Scibar 
PotatoChip 90 IUPbar 
PotatoChip 40 Newbar 
PotatoChip 90 Newbar 
Potato 80 Scibar 
TomyamKung 90 SevenEleven 
Somtum 30 SevenEleven 
Potato 40 Newbar 
FriedEgg 30 Scibar 
TomyamKung 80 Scibar 
FriedEgg 20 Scibar 
Soba 80 Scibar 
Potato 20 Scibar 
Somtum 10 Scibar 
Potato 80 SevenEleven 
Potato 40 Scibar 
FriedEgg 30 SevenEleven 
Potato 80 Newbar 
ChickenFried 70 IUPbar 
Somtum 10 Newbar 
TomyamKung 70 Newbar 
Potato 70 Scibar 
Somtum 60 Scibar 
FriedEgg 70 IUPbar 
Potato 60 Newbar 
Somtum 90 Scibar 
